0;127378;7424;0;119938;
10;5042569;160505;0;4882054;
11;20988583;1055407;0;19933161;
12;20532639;1559237;0;18973387;
13;402118;59154;0;342950;
14;;1085897;0;27886452;
15;3709064;204255;0;3504797;
16;16492953;741157;0;15751787;
17;19069001;1849396;0;17219593;
18;29062041;2379189;0;26682837;
19;18864854;1600622;0;17264217;
1;21085474;1028599;0;20056861;
20;29579785;1482373;0;28097398;
21;17952464;639962;0;17312489;
22;6361638;225181;0;6136444;
23;5131991;367016;0;4764962;
24;4352195;367186;0;3984998;
25;6300631;270347;0;6030272;
26;10199592;807509;0;9392072;
27;29819994;795839;0;29024145;
28;5795906;422969;0;5372927;
29;9822520;772366;0;9050140;
2;26476068;2036094;0;24439960;
30;8065968;248265;0;7817692;
3;19312656;1167043;0;18145598;
4;18730275;936144;0;17794117;
5;10239393;219345;0;10020038;
6;13840685;624281;0;13216392;
7;2899750;194657;0;2705078;
8;14665109;908723;0;13756375;
9;27611617;870306;0;26741298;
