193331;386656;7994;0;5;2;
193647;387279;8069;0;5;2;
193525;387042;8179;0;5;2;
193774;387538;8188;0;5;2;
193744;387478;8191;0;5;2;
193935;387862;7717;0;5;2;
193703;387396;8240;0;5;2;
193815;387621;8087;0;5;2;
193071;386134;8142;0;5;2;
193080;386149;8097;0;5;2;
193270;386531;8283;0;5;2;
192988;385965;8101;0;5;2;
193763;387519;8161;0;5;2;
193701;387395;8187;0;5;2;
193395;386778;8221;0;5;2;
193569;387132;8076;0;5;2;
194010;388014;8138;0;5;2;
193124;386239;7817;0;5;2;
193194;386380;8143;0;5;2;
193454;386895;8137;0;5;2;
193643;387280;8239;0;5;2;
193746;387478;8207;0;5;2;
193479;386950;8012;0;5;2;
192456;384905;8114;0;5;2;
193272;386533;8127;0;5;2;
193628;387244;8268;0;5;2;
192991;385973;8170;0;5;2;
193595;387181;8366;0;5;2;
192931;385854;8088;0;5;2;
193777;387545;8121;0;5;2;
194128;388248;8190;0;5;2;
;;;;;;
;;;;;;
193475,451612903;386941,741935484;8131,29032258065;;;;Moyenne
381,408942278495;762,861587982614;123,449545655627;;;;Écart type
;;;;;;
;23,7939421589241;;;;;
