32901;65682;2159;0;14;16
32841;65524;1765;0;14;16
32907;65694;1727;0;14;16
32828;65524;1751;0;14;16
32914;65690;1730;0;14;16
32908;65694;1697;0;14;16
32859;65610;1721;0;14;16
32931;65718;1718;0;14;16
32806;65490;1701;0;14;16
32888;65662;1727;0;14;16
32883;65654;1759;0;14;16
32933;65714;1732;0;14;16
32848;65586;1720;0;14;16
32936;65722;1740;0;14;16
32804;65464;1723;0;14;16
32847;65542;1686;0;14;16
32939;65732;1706;0;14;16
32875;65634;1728;0;14;16
32873;65600;1717;0;14;16
32903;65670;1735;0;14;16
32942;65734;1724;0;14;16
32895;65640;1761;0;14;16
32891;65664;1706;0;14;16
32819;65500;1781;0;14;16
32856;65622;1719;0;14;16
32924;65706;1734;0;14;16
32885;65650;1729;0;14;16
32824;65530;1754;0;14;16
32924;65718;1723;0;14;16
32933;65722;1703;0;14;16
32963;65762;1681;0;14;16
