32781;65562;1783;0;0;0;
32683;65366;1775;0;0;0;
32787;65574;1734;0;0;0;
32696;65392;1752;0;0;0;
32776;65552;1747;0;0;0;
32786;65572;1706;0;0;0;
32751;65502;1730;0;0;0;
32787;65574;1735;0;0;0;
32684;65368;1709;0;0;0;
32774;65548;1732;0;0;0;
32771;65542;1763;0;0;0;
32781;65562;1752;0;0;0;
32738;65476;1723;0;0;0;
32786;65572;1752;0;0;0;
32660;65320;1729;0;0;0;
32695;65390;1687;0;0;0;
32793;65586;1719;0;0;0;
32759;65518;1740;0;0;0;
32727;65454;1715;0;0;0;
32767;65534;1732;0;0;0;
32792;65584;1737;0;0;0;
32745;65490;1760;0;0;0;
32773;65546;1724;0;0;0;
32681;65362;1791;0;0;0;
32766;65532;1733;0;0;0;
32782;65564;1743;0;0;0;
32765;65530;1744;0;0;0;
32706;65412;1756;0;0;0;
32794;65588;1733;0;0;0;
32789;65578;1722;0;0;0;
32799;65598;1692;0;0;0;
;;;;;;
;;;;;;
32754;65508;1737,09677419355;;;;Moyenne
41,071482401621;82,1429648032421;23,6549569698893;;;;Écart type
;;;;;;
;;;;;;
;18,8555988857939;;;;;
