63011;65442;1929;0;14;0
73924;65208;1980;0;14;0
60710;65454;1872;0;14;0
62709;65260;1911;0;14;0
65459;65414;1907;0;14;0
62356;65450;1871;0;14;0
58292;65394;1860;0;14;0
68973;65430;1925;0;14;0
61091;65246;1837;0;14;0
61414;65434;1878;0;14;0
58324;65430;1893;0;14;0
72590;65410;1953;0;14;0
61419;65366;1876;0;14;0
66224;65422;1934;0;14;0
69149;65176;1916;0;14;0
70745;65238;1877;0;14;0
70672;65440;1913;0;14;0
63794;65402;1895;0;14;0
67748;65308;1900;0;14;0
67469;65398;1906;0;14;0
68931;65434;1922;0;14;0
70282;65340;1946;0;14;0
61572;65428;1868;0;14;0
64766;65224;1968;0;14;0
54784;65442;1830;0;14;0
65522;65422;1911;0;14;0
63124;65410;1903;0;14;0
64072;65294;1910;0;14;0
64782;65458;1913;0;14;0
65814;65434;1881;0;14;0
71682;65434;1898;0;14;0
