conf;nb_activation;duree_ml;K1;K2;K3;
579 455,00;1 103 760,00;21 957,00;0;5;10;
581 240,00;1 110 687,00;22 222,00;0;5;10;
578 962,00;1 105 929,00;21 760,00;0;5;10;
575 259,00;1 093 060,00;21 753,00;0;5;10;
581 036,00;1 108 454,00;21 568,00;0;5;10;
579 203,00;1 103 742,00;21 204,00;0;5;10;
577 424,00;1 100 399,00;21 832,00;0;5;10;
578 984,00;1 103 324,00;21 875,00;0;5;10;
579 101,00;1 102 060,00;22 073,00;0;5;10;
579 725,00;1 102 476,00;21 527,00;0;5;10;
576 876,00;1 099 302,00;22 304,00;0;5;10;
580 018,00;1 104 645,00;21 932,00;0;5;10;
580 905,00;1 109 625,00;21 778,00;0;5;10;
580 435,00;1 108 046,00;21 727,00;0;5;10;
577 349,00;1 100 413,00;21 990,00;0;5;10;
579 379,00;1 104 137,00;22 035,00;0;5;10;
579 830,00;1 105 302,00;21 981,00;0;5;10;
580 305,00;1 109 493,00;21 569,00;0;5;10;
579 120,00;1 105 882,00;21 572,00;0;5;10;
579 687,00;1 105 280,00;21 909,00;0;5;10;
578 838,00;1 100 847,00;22 170,00;0;5;10;
582 446,00;1 117 587,00;22 057,00;0;5;10;
581 624,00;1 113 709,00;21 669,00;0;5;10;
579 441,00;1 104 278,00;22 030,00;0;5;10;
579 177,00;1 107 013,00;21 530,00;0;5;10;
576 687,00;1 096 072,00;21 885,00;0;5;10;
580 018,00;1 108 502,00;22 082,00;0;5;10;
579 430,00;1 105 689,00;22 304,00;0;5;10;
578 369,00;1 105 290,00;21 611,00;0;5;10;
580 179,00;1 108 056,00;22 111,00;0;5;10;
579 318,00;1 104 746,00;21 677,00;0;5;10;
;;;;;;
;;;;;;
579 349,03;1 105 090,48;21 861,09;;;;Moyenne
1 495,63;4 808,93;258,73;;;;Écart type
