conf;nb_activation;duree_ml;K1;K2;K3;
131295;262206;5878;0;5;8;
131629;262874;5954;0;5;8;
131091;261798;5978;0;5;8;
131822;263260;6045;0;5;8;
131930;263476;5981;0;5;8;
131882;263380;5827;0;5;8;
131896;263408;6008;0;5;8;
131841;263298;6003;0;5;8;
131878;263372;5983;0;5;8;
131835;263286;5853;0;5;8;
131668;262952;6117;0;5;8;
131952;263520;5992;0;5;8;
131753;263122;5972;0;5;8;
131600;262816;6013;0;5;8;
131569;262754;6057;0;5;8;
130814;261244;5968;0;5;8;
131815;263246;5976;0;5;8;
131691;262998;5797;0;5;8;
131181;261978;5962;0;5;8;
131539;262694;5891;0;5;8;
131971;263558;6049;0;5;8;
131759;263134;6006;0;5;8;
131527;262670;5873;0;5;8;
131887;263390;6003;0;5;8;
131631;262878;5910;0;5;8;
131640;262896;6017;0;5;8;
131369;262354;5966;0;5;8;
131132;261880;6062;0;5;8;
131219;262054;5892;0;5;8;
131700;263016;5982;0;5;8;
131778;263172;5907;0;5;8;
;;;;;;
;;;;;;
131622,387096774;262860,774193548;5965,22580645161;;;;Moyenne
292,701062225536;585,402124451072;73,251489030335;;;;Écart type
