conf;nb_activation;K1;K2;K5;temps_ml
31611;61239;0;10;1000;1432
32646;61280;0;10;2000;1450
33533;61086;0;10;3000;1452
34520;61061;0;10;4000;1441
35528;61077;0;10;5000;1462
40513;61046;0;10;10000;1485
45491;61000;0;10;15000;1514
50473;60963;0;10;20000;1519
60461;60941;0;10;30000;1569
70438;60891;0;10;40000;1628
80522;61061;0;10;50000;1682
90418;60855;0;10;60000;1729
100433;60884;0;10;70000;1777
110374;60764;0;10;80000;1825
120358;60732;0;10;90000;1877
130967;61850;0;10;100000;1944
