conf;nb_activation;duree_ml;K1;K2;K3;
579455;1103760;21957;0;5;10;
581240;1110687;22222;0;5;10;
578962;1105929;21760;0;5;10;
575259;1093060;21753;0;5;10;
581036;1108454;21568;0;5;10;
579203;1103742;21204;0;5;10;
577424;1100399;21832;0;5;10;
578984;1103324;21875;0;5;10;
579101;1102060;22073;0;5;10;
579725;1102476;21527;0;5;10;
576876;1099302;22304;0;5;10;
580018;1104645;21932;0;5;10;
580905;1109625;21778;0;5;10;
580435;1108046;21727;0;5;10;
577349;1100413;21990;0;5;10;
579379;1104137;22035;0;5;10;
579830;1105302;21981;0;5;10;
580305;1109493;21569;0;5;10;
579120;1105882;21572;0;5;10;
579687;1105280;21909;0;5;10;
578838;1100847;22170;0;5;10;
582446;1117587;22057;0;5;10;
581624;1113709;21669;0;5;10;
579441;1104278;22030;0;5;10;
579177;1107013;21530;0;5;10;
576687;1096072;21885;0;5;10;
580018;1108502;22082;0;5;10;
579430;1105689;22304;0;5;10;
578369;1105290;21611;0;5;10;
580179;1108056;22111;0;5;10;
579318;1104746;21677;0;5;10;
;;;;;;
;;;;;;
579349,03;1105090,48;21861,09;;;;Moyenne
1495,63;4808,93;258,73;;;;Écart type
